Timestamp,smsin,smsout,callin,callout,internet
2013-10-31 23:00:00,122133.93743777019,99854.50039148967,46430.908863280696,54806.24831470563,3623713.2387302746
2013-11-01 00:00:00,78865.24903374453,72349.68080205651,26904.14195563914,34178.04367463606,3087452.171304204
2013-11-01 01:00:00,56241.20215529476,53626.62076404467,18588.39237450122,24601.60742687185,2668822.6739054536
2013-11-01 02:00:00,42279.17186960175,46501.954632347995,13227.274446237698,20151.55683125241,2366073.533940713
2013-11-01 03:00:00,30291.6927645656,38776.74287233479,10220.831943681165,16239.305140642751,2158129.026819083
2013-11-01 04:00:00,25060.59462784501,33747.93249897687,9116.80552817591,15222.01943087115,2026641.2856287556
2013-11-01 05:00:00,32114.159289150015,38635.493750913934,12260.472145168025,18584.65688034371,2068598.9756058299
2013-11-01 06:00:00,60935.0989251447,58864.662475274185,24541.298666899525,37797.744158815374,2343251.7549498277
2013-11-01 07:00:00,233732.80691503992,107956.3517900508,65643.55957021278,92687.49091404577,2822517.803133761
2013-11-01 08:00:00,272223.5159196295,150553.94912919946,143781.79635098897,184325.36700016732,3460267.5375891016
2013-11-01 09:00:00,335555.1697407201,168737.94051180538,210344.2086913919,255980.32667163067,3956381.015222873
2013-11-01 10:00:00,337507.69671790476,174361.86433111446,237218.51632440535,284708.1167179729,4151907.4629972903
2013-11-01 11:00:00,320347.8997840889,165537.7391608737,215444.82736466458,256582.42725356578,4080530.7009415193
2013-11-01 12:00:00,258678.70031889481,146881.4820172409,153783.09009610495,187243.95278454048,3904571.713827103
2013-11-01 13:00:00,255386.4426902775,148272.144282941,151217.74537548234,183998.3017224757,4035455.624976818
2013-11-01 14:00:00,256765.21890704043,146331.89513844062,157567.9628664836,190655.4226155764,4057009.873888429
2013-11-01 15:00:00,266603.4854921601,149084.9013398855,181173.72544168663,211703.96586979865,4107445.1035593417
2013-11-01 16:00:00,306314.5537756259,163807.7147780489,216149.17415128864,247580.55464798125,4174749.4914810625
2013-11-01 17:00:00,313059.5820452785,166027.70941931912,210099.76219018962,248093.65578420035,4198379.371071579
2013-11-01 18:00:00,276494.26223968796,159138.95367770872,185033.07908320945,218538.51209989388,4073696.8763034563
2013-11-01 19:00:00,233911.6900471622,151177.09585886612,135538.08298393336,169256.3664461586,4010872.979897722
2013-11-01 20:00:00,209199.41035951578,146228.11271407557,97824.24298925916,122067.37260623921,3931519.5193754695
2013-11-01 21:00:00,162696.17919998436,127803.12382761716,60927.42722676109,73218.04745437237,3726959.9793542004
2013-11-01 22:00:00,119989.61070841266,108171.51691369126,39762.5550773452,48541.24814147305,3444298.8752006777
2013-11-01 23:00:00,84746.84919597373,77036.10744279472,23195.896092369112,30419.93873417075,3010910.2387696533
2013-11-02 00:00:00,45039.14857777887,49649.2954615931,11559.64906485919,16146.738787417147,2502896.415415776
2013-11-02 01:00:00,25305.46865956541,36542.174596167366,6326.936145489781,10919.791644728763,2146775.2734383913
2013-11-02 02:00:00,16703.05343515976,30698.298107843922,5118.034496122492,8849.447688445644,1879246.470741278
2013-11-02 03:00:00,14725.782073324923,28943.355427824386,5048.596134658621,9113.448719026044,1734990.0557068493
2013-11-02 04:00:00,16045.836321989587,29930.365630748423,5390.7999166701575,9425.672657541238,1700360.482137735
2013-11-02 05:00:00,24106.50312468385,35758.49043151282,9790.35679902281,15794.96537379654,1781472.7237066159
2013-11-02 06:00:00,52059.87232718885,55627.65801126735,24755.570039753868,36751.91988472688,2068070.1451650683
2013-11-02 07:00:00,213595.5058044609,99097.57890595811,71084.3312981707,98148.74910302294,2572932.0664637405
2013-11-02 08:00:00,312669.87517276884,139066.1098578424,154818.41742092697,199730.39223330666,3270205.2670894563
2013-11-02 09:00:00,330765.62689072127,160479.8464338181,229965.86597077933,276204.2889176375,3778789.461018556
2013-11-02 10:00:00,352685.3727796025,164526.2219374011,261031.46030973506,306621.0288316776,4073552.5328391544
2013-11-02 11:00:00,317937.5828315782,165500.5506786601,242511.4410755949,282178.39617525646,4089851.3576521087
2013-11-02 12:00:00,283954.80921602505,157688.9768947227,186859.26499856365,222724.23667677143,4026931.327950031
2013-11-02 13:00:00,280363.9078025225,166051.64344759472,175328.52707386835,209619.78134493384,4161929.603550124
2013-11-02 14:00:00,303153.2367748513,159940.32259953342,184980.14372659958,218602.8583109933,4246421.620737303
2013-11-02 15:00:00,321851.02418556775,159022.4286658707,211116.92616233387,243798.1604252654,4334808.973006753
2013-11-02 16:00:00,348269.8981305083,172273.0929173161,239859.4115417143,276772.2581169503,4395590.71147383
2013-11-02 17:00:00,323754.4535143808,178205.9558771064,226196.04653012144,264938.44447348325,4481955.6845104955
2013-11-02 18:00:00,293911.5138629452,172271.87333318594,197595.17180117927,233958.7330579164,4372017.788591227
2013-11-02 19:00:00,244743.04758497537,153548.70465714223,142063.05354271992,175388.57197344396,4222081.712975731
2013-11-02 20:00:00,206324.09339190865,150144.89390823233,97125.50383336755,119525.08708777234,4219943.0347237885
2013-11-02 21:00:00,189051.35461320786,143441.18053305955,69837.41163797726,83015.92873907468,4111604.6044115014
